"LIGHT (0,1)",% CURTAIN,X-VALUE,Y-VALUE
1,0.00,4,2
1,0.00,4,1
1,0.00,11,2
1,0.00,12,2
1,0.00,15,2
1,0.00,16,1
1,0.00,17,2
1,0.00,18,2
1,0.25,3,1
1,0.25,10,3
1,0.25,19,3
1,0.50,6,1
1,0.50,9,1
1,0.50,10,1
1,0.50,11,3
1,0.50,12,3
1,0.50,15,1
1,0.50,16,2
1,0.50,17,1
1,0.50,18,3
1,0.50,18,1
1,0.63,20,3
1,0.75,17,3
0,1.00,1,3
0,1.00,1,2
0,1.00,1,1
0,1.00,2,3
0,1.00,2,2
0,1.00,2,1
0,1.00,3,3
0,1.00,3,2
0,1.00,4,3
0,1.00,5,3
0,1.00,5,2
0,1.00,5,1
0,1.00,6,3
0,1.00,6,2
0,1.00,7,3
0,1.00,7,2
0,1.00,7,1
0,1.00,8,3
0,1.00,8,2
0,1.00,8,1
0,1.00,9,3
0,1.00,9,2
0,1.00,10,2
0,1.00,11,1
0,1.00,12,1
0,1.00,13,3
0,1.00,13,2
0,1.00,13,1
0,1.00,14,3
0,1.00,14,2
0,1.00,14,1
0,1.00,15,3
0,1.00,16,3
0,1.00,19,2
0,1.00,19,1
0,1.00,20,2
0,1.00,20,1
